œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;54;10;29;True;05.12.2017 9:38:52;;0;;
2;69;9;32;True;05.12.2017 9:38:55;;0;;
3;96;7;32;True;05.12.2017 9:38:58;;0;;
4;108;6;29;True;05.12.2017 9:39:00;;0;;
5;93;7;26;True;05.12.2017 9:39:01;;0;;
6;66;9;26;True;05.12.2017 9:39:03;;0;;
7;30;12;29;True;05.12.2017 9:39:06;;0;;
8;57;10;35;True;05.12.2017 9:39:07;;0;;
9;111;6;35;True;05.12.2017 9:39:07;;0;;
10;132;4;29;True;05.12.2017 9:39:07;;0;;
11;105;6;23;True;05.12.2017 9:39:07;;0;;
12;51;10;23;True;05.12.2017 9:39:07;;0;;
13;18;13;26;True;05.12.2017 9:39:07;;0;;
14;21;13;32;True;05.12.2017 9:39:08;;0;;
15;33;12;35;True;05.12.2017 9:39:08;;0;;
16;72;9;38;True;05.12.2017 9:39:08;;0;;
17;99;7;38;True;05.12.2017 9:39:08;;0;;
18;135;4;35;True;05.12.2017 9:39:08;;0;;
19;144;3;32;True;05.12.2017 9:39:08;;0;;
20;141;3;26;True;05.12.2017 9:39:08;;0;;
21;129;4;23;True;05.12.2017 9:39:10;;0;;
22;90;7;20;True;05.12.2017 9:39:11;;0;;
23;63;9;20;True;05.12.2017 9:39:12;;0;;
24;27;12;23;True;05.12.2017 9:39:12;;0;;
25;10;14;29;True;05.12.2017 9:39:12;;0;;
26;46;11;38;True;05.12.2017 9:39:12;;0;;
27;125;5;38;True;05.12.2017 9:39:12;;0;;
28;152;2;29;True;05.12.2017 9:39:12;;0;;
29;116;5;20;True;05.12.2017 9:39:13;;0;;
30;37;11;20;True;05.12.2017 9:39:13;;0;;
31;7;14;23;True;05.12.2017 9:39:13;;0;;
32;13;14;35;True;05.12.2017 9:39:13;;0;;
33;87;8;41;True;05.12.2017 9:39:13;;0;;
34;155;2;35;True;05.12.2017 9:39:13;;0;;
35;149;2;23;True;05.12.2017 9:39:13;;0;;
36;75;8;17;True;05.12.2017 9:39:14;;0;;
37;1;15;26;True;05.12.2017 9:39:14;;0;;
38;4;15;32;True;05.12.2017 9:39:14;;0;;
39;24;13;38;True;05.12.2017 9:39:14;;0;;
40;60;10;41;True;05.12.2017 9:39:14;;0;;
41;114;6;41;True;05.12.2017 9:39:14;;0;;
42;147;3;38;True;05.12.2017 9:39:14;;0;;
43;161;1;32;True;05.12.2017 9:39:15;;0;;
44;158;1;26;True;05.12.2017 9:39:15;;0;;
45;138;3;20;True;05.12.2017 9:39:15;;0;;
46;102;6;17;True;05.12.2017 9:39:15;;0;;
47;48;10;17;True;05.12.2017 9:39:15;;0;;
48;15;13;20;True;05.12.2017 9:39:15;;0;;
49;81;8;29;True;05.12.2017 9:39:16;;0;;
50;40;11;26;True;05.12.2017 9:39:16;;0;;
51;43;11;32;True;05.12.2017 9:39:16;;0;;
52;84;8;35;True;05.12.2017 9:39:16;;0;;
