œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;54;10;29;True;05.12.2017 10:07:37;;0;;
2;69;9;32;True;05.12.2017 10:07:38;;0;;
3;96;7;32;True;05.12.2017 10:07:39;;0;;
4;108;6;29;True;05.12.2017 10:07:39;;0;;
5;93;7;26;True;05.12.2017 10:07:40;;0;;
6;66;9;26;True;05.12.2017 10:07:40;;0;;
7;30;12;29;True;05.12.2017 10:07:40;;0;;
8;57;10;35;True;05.12.2017 10:07:40;;0;;
9;111;6;35;True;05.12.2017 10:07:40;;0;;
10;132;4;29;True;05.12.2017 10:07:40;;0;;
11;105;6;23;True;05.12.2017 10:07:40;;0;;
12;51;10;23;True;05.12.2017 10:07:41;;0;;
13;18;13;26;True;05.12.2017 10:07:41;;0;;
14;21;13;32;True;05.12.2017 10:07:42;;0;;
15;33;12;35;True;05.12.2017 10:07:42;;0;;
16;72;9;38;True;05.12.2017 10:07:43;;0;;
17;99;7;38;True;05.12.2017 10:07:43;;0;;
18;135;4;35;True;05.12.2017 10:07:43;;0;;
19;144;3;32;True;05.12.2017 10:07:44;;0;;
20;141;3;26;True;05.12.2017 10:07:45;;0;;
21;129;4;23;True;05.12.2017 10:07:46;;0;;
22;90;7;20;True;05.12.2017 10:07:47;;0;;
23;63;9;20;True;05.12.2017 10:07:48;;0;;
24;27;12;23;True;05.12.2017 10:07:49;;0;;
25;10;14;29;True;05.12.2017 10:07:50;;0;;
26;46;11;38;True;05.12.2017 10:07:51;;0;;
27;125;5;38;True;05.12.2017 10:07:52;;0;;
28;152;2;29;True;05.12.2017 10:07:52;;0;;
29;116;5;20;True;05.12.2017 10:07:53;;0;;
30;37;11;20;True;05.12.2017 10:07:54;;0;;
31;7;14;23;True;05.12.2017 10:07:55;;0;;
32;13;14;35;True;05.12.2017 10:07:57;;0;;
33;87;8;41;True;05.12.2017 10:07:59;;0;;
34;155;2;35;True;05.12.2017 10:08:00;;0;;
35;149;2;23;True;05.12.2017 10:08:02;;0;;
36;75;8;17;True;05.12.2017 10:08:03;;0;;
37;1;15;26;True;05.12.2017 10:08:04;;0;;
38;4;15;32;True;05.12.2017 10:08:07;;0;;
39;24;13;38;True;05.12.2017 10:08:14;;0;;
40;60;10;41;True;05.12.2017 10:08:15;;0;;
41;114;6;41;True;05.12.2017 10:08:18;;0;;
42;147;3;38;True;05.12.2017 10:08:19;;0;;
43;161;1;32;True;05.12.2017 10:08:21;;0;;
44;158;1;26;True;05.12.2017 10:08:22;;0;;
45;138;3;20;True;05.12.2017 10:08:24;;0;;
46;102;6;17;True;05.12.2017 10:08:34;;0;;
47;48;10;17;True;05.12.2017 10:08:46;;0;;
48;15;13;20;True;05.12.2017 10:08:48;;0;;
49;81;8;29;True;05.12.2017 10:25:28;;0;;
50;40;11;26;True;05.12.2017 10:25:29;;0;;
51;43;11;32;True;05.12.2017 10:25:29;;0;;
52;84;8;35;True;05.12.2017 10:25:29;;0;;
53;122;5;32;True;05.12.2017 10:25:29;;0;;
54;119;5;26;True;05.12.2017 10:25:29;;0;;
55;78;8;23;True;05.12.2017 10:25:29;;0;;
56;28;12;25;True;05.12.2017 10:25:29;;0;;
57;32;12;33;True;05.12.2017 10:25:30;;0;;
58;85;8;37;True;05.12.2017 10:25:30;;0;;
59;134;4;33;True;05.12.2017 10:25:31;;0;;
60;130;4;25;True;05.12.2017 10:25:32;;0;;
61;77;8;21;True;05.12.2017 10:25:33;;0;;
62;53;10;27;True;05.12.2017 10:25:37;;0;;
63;55;10;31;True;05.12.2017 10:25:39;;0;;
64;83;8;33;True;05.12.2017 10:25:40;;0;;
65;109;6;31;True;05.12.2017 10:25:42;;0;;
66;107;6;27;True;05.12.2017 10:25:42;;0;;
67;79;8;25;True;05.12.2017 10:25:42;;0;;
68;67;9;28;True;05.12.2017 10:25:42;;0;;
69;95;7;30;True;05.12.2017 10:25:42;;0;;
70;68;9;30;True;05.12.2017 10:25:42;;0;;
71;94;7;28;True;05.12.2017 10:25:43;;0;;
72;82;8;31;True;05.12.2017 10:25:43;;0;;
73;80;8;27;True;05.12.2017 10:25:43;;0;;
74;38;11;22;True;05.12.2017 10:25:43;;0;;
75;20;13;30;True;05.12.2017 10:25:43;;0;;
76;58;10;37;True;05.12.2017 10:25:43;;0;;
77;124;5;36;True;05.12.2017 10:25:44;;0;;
78;142;3;28;True;05.12.2017 10:25:44;;0;;
79;104;6;21;True;05.12.2017 10:25:44;;0;;
80;89;7;18;True;05.12.2017 10:25:44;;0;;
81;62;9;18;True;05.12.2017 10:25:44;;0;;
82;16;13;22;True;05.12.2017 10:25:44;;0;;
83;8;14;25;True;05.12.2017 10:25:44;;0;;
84;23;13;36;True;05.12.2017 10:25:45;;0;;
85;73;9;40;True;05.12.2017 10:25:45;;0;;
86;100;7;40;True;05.12.2017 10:25:45;;0;;
87;146;3;36;True;05.12.2017 10:25:45;;0;;
88;154;2;33;True;05.12.2017 10:25:45;;0;;
89;150;2;25;True;05.12.2017 10:25:45;;0;;
90;139;3;22;True;05.12.2017 10:25:45;;0;;
91;118;5;24;True;05.12.2017 10:25:46;;0;;
92;91;7;22;True;05.12.2017 10:25:46;;0;;
93;64;9;22;True;05.12.2017 10:25:46;;0;;
94;39;11;24;True;05.12.2017 10:25:46;;0;;
95;29;12;27;True;05.12.2017 10:25:46;;0;;
96;31;12;31;True;05.12.2017 10:25:48;;0;;
97;44;11;34;True;05.12.2017 10:25:49;;0;;
98;71;9;36;True;05.12.2017 10:25:50;;0;;
99;98;7;36;True;05.12.2017 10:25:51;;0;;
100;123;5;34;True;05.12.2017 10:25:52;;0;;
101;133;4;31;True;05.12.2017 10:25:53;;0;;
102;131;4;27;True;05.12.2017 10:25:57;;0;;
103;106;6;25;True;05.12.2017 10:25:58;;0;;
104;92;7;24;True;05.12.2017 10:25:59;;0;;
