ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
69;95;7;30;True;12.12.2017 15:37:14;Федоровых;10899;;
70;68;9;30;True;12.12.2017 16:08:47;Опалев;10899;;
71;94;7;28;True;12.12.2017 16:48:00;Опалев;10899;;
72;82;8;31;True;12.12.2017 17:21:37;Опалев;10899;;
73;80;8;27;True;12.12.2017 18:05:16;Опалев;10899;;
74;38;11;22;True;12.12.2017 18:38:15;Опалев;10899;;
75;20;13;30;True;12.12.2017 19:13:09;Опалев;10899;;
76;58;10;37;False;01.01.0001 0:00:00;;0;;
77;124;5;36;False;01.01.0001 0:00:00;;0;;
78;142;3;28;False;01.01.0001 0:00:00;;0;;
79;104;6;21;False;01.01.0001 0:00:00;;0;;
80;89;7;18;False;01.01.0001 0:00:00;;0;;
81;62;9;18;False;01.01.0001 0:00:00;;0;;
82;16;13;22;False;01.01.0001 0:00:00;;0;;
83;8;14;25;False;01.01.0001 0:00:00;;0;;
84;23;13;36;False;01.01.0001 0:00:00;;0;;
85;73;9;40;False;01.01.0001 0:00:00;;0;;
86;100;7;40;False;01.01.0001 0:00:00;;0;;
87;146;3;36;False;01.01.0001 0:00:00;;0;;
88;154;2;33;False;01.01.0001 0:00:00;;0;;
89;150;2;25;False;01.01.0001 0:00:00;;0;;
90;139;3;22;False;01.01.0001 0:00:00;;0;;
91;118;5;24;False;01.01.0001 0:00:00;;0;;
92;91;7;22;False;01.01.0001 0:00:00;;0;;
93;64;9;22;False;01.01.0001 0:00:00;;0;;
94;39;11;24;False;01.01.0001 0:00:00;;0;;
95;29;12;27;False;01.01.0001 0:00:00;;0;;
96;31;12;31;False;01.01.0001 0:00:00;;0;;
97;44;11;34;False;01.01.0001 0:00:00;;0;;
98;71;9;36;False;01.01.0001 0:00:00;;0;;
99;98;7;36;False;01.01.0001 0:00:00;;0;;
100;123;5;34;False;01.01.0001 0:00:00;;0;;
101;133;4;31;False;01.01.0001 0:00:00;;0;;
102;131;4;27;False;01.01.0001 0:00:00;;0;;
103;106;6;25;False;01.01.0001 0:00:00;;0;;
104;92;7;24;False;01.01.0001 0:00:00;;0;;
105;65;9;24;False;01.01.0001 0:00:00;;0;;
106;52;10;25;False;01.01.0001 0:00:00;;0;;
107;41;11;28;False;01.01.0001 0:00:00;;0;;
108;42;11;30;False;01.01.0001 0:00:00;;0;;
109;56;10;33;False;01.01.0001 0:00:00;;0;;
110;70;9;34;False;01.01.0001 0:00:00;;0;;
111;97;7;34;False;01.01.0001 0:00:00;;0;;
112;110;6;33;False;01.01.0001 0:00:00;;0;;
113;121;5;30;False;01.01.0001 0:00:00;;0;;
114;120;5;28;False;01.01.0001 0:00:00;;0;;
115;128;4;21;False;01.01.0001 0:00:00;;0;;
116;103;6;19;False;01.01.0001 0:00:00;;0;;
117;49;10;19;False;01.01.0001 0:00:00;;0;;
118;26;12;21;False;01.01.0001 0:00:00;;0;;
119;9;14;27;False;01.01.0001 0:00:00;;0;;
120;34;12;37;False;01.01.0001 0:00:00;;0;;
121;59;10;39;False;01.01.0001 0:00:00;;0;;
122;113;6;39;False;01.01.0001 0:00:00;;0;;
123;136;4;37;False;01.01.0001 0:00:00;;0;;
124;153;2;31;False;01.01.0001 0:00:00;;0;;
125;151;2;27;False;01.01.0001 0:00:00;;0;;
126;76;8;19;False;01.01.0001 0:00:00;;0;;
127;17;13;24;False;01.01.0001 0:00:00;;0;;
128;22;13;34;False;01.01.0001 0:00:00;;0;;
129;86;8;39;False;01.01.0001 0:00:00;;0;;
130;145;3;34;False;01.01.0001 0:00:00;;0;;
131;140;3;24;False;01.01.0001 0:00:00;;0;;
132;117;5;22;False;01.01.0001 0:00:00;;0;;
133;50;10;21;False;01.01.0001 0:00:00;;0;;
134;19;13;28;False;01.01.0001 0:00:00;;0;;
135;45;11;36;False;01.01.0001 0:00:00;;0;;
136;112;6;37;False;01.01.0001 0:00:00;;0;;
137;143;3;30;False;01.01.0001 0:00:00;;0;;
138;157;1;24;False;01.01.0001 0:00:00;;0;;
139;148;2;21;False;01.01.0001 0:00:00;;0;;
140;127;4;19;False;01.01.0001 0:00:00;;0;;
141;115;5;18;False;01.01.0001 0:00:00;;0;;
142;88;7;16;False;01.01.0001 0:00:00;;0;;
143;61;9;16;False;01.01.0001 0:00:00;;0;;
144;36;11;18;False;01.01.0001 0:00:00;;0;;
145;25;12;19;False;01.01.0001 0:00:00;;0;;
146;6;14;21;False;01.01.0001 0:00:00;;0;;
147;0;15;24;False;01.01.0001 0:00:00;;0;;
148;2;15;28;False;01.01.0001 0:00:00;;0;;
149;14;14;37;False;01.01.0001 0:00:00;;0;;
150;35;12;39;False;01.01.0001 0:00:00;;0;;
151;47;11;40;False;01.01.0001 0:00:00;;0;;
152;74;9;42;False;01.01.0001 0:00:00;;0;;
153;101;7;42;False;01.01.0001 0:00:00;;0;;
154;126;5;40;False;01.01.0001 0:00:00;;0;;
155;137;4;39;False;01.01.0001 0:00:00;;0;;
156;162;1;34;False;01.01.0001 0:00:00;;0;;
157;160;1;30;False;01.01.0001 0:00:00;;0;;
158;159;1;28;False;01.01.0001 0:00:00;;0;;
159;156;2;37;False;01.01.0001 0:00:00;;0;;
160;11;14;31;False;01.01.0001 0:00:00;;0;;
161;12;14;33;False;01.01.0001 0:00:00;;0;;
162;3;15;30;False;01.01.0001 0:00:00;;0;;
163;5;15;34;False;01.01.0001 0:00:00;;0;;
